Org Name,EIN,Current FY Start,Current FY End,Ruling Year,Form Year,Form Type,Address Line 1,Address Line 2,City,State,County,Zip,Org Phone Number,Web Address,IRS Subsection,Subject Area 1,Subject Area 2,Subject Area 3,NTEE Code,NAICS Code,SIC Code1,SIC Code2,Audit Required?,Has filed 990T?,Paid Preparer Firm Name,Link to GS Profile Page,Link to most recent Form 990,Total Assets,Cash & Equivalent,Investments Securities,Net Assets,Temporarily Restricted Net Assets,Permanently Restricted Net Assets,Unrestricted Net Assets,Total Revenue,Gross Receipts,Investment Income,Total Contributions,Government Grants,Special Events,Sales,Program Services Revenue,Total Liabilities,Loans and Notes,Tax-Exempt Bond Liabilities,Total Expenses,Total Program Expenses,Total Administrative Expenses,Total Fundraising Expenses,Accounting Fees,Advertising Expenses,Information Technology Expenses,Insurance Expenses,Interest Expenses,Investment Management Fees,Legal Fees,Pension Plan Contributions   Employee Benefits,Printing and Publications,Professional Fundraising Expenses,Principal Officer,Org Leader,Primary Contact Name,Primary Contact Title,Primary Contact Email,Number of Employees
1-AAA Win Win Opportunities Inc,01-0650618,,,2002,,,37255 Mission Blvd,,Fremont,CA,Alameda,94536,,,501(c)(3) Private Nonoperating Foundation,Human services,,,P20 (Human Service Organizations),624190,8322,,,,,http://www.guidestar.org/profile/01-0650618,http://www.guidestar.org/FinDocuments/2005/010/650/2005-010650618-0278467d-Z.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-800 American Free Trade Association Inc,01-0675449,1/1/2016,12/31/2016,2003,2016,990EZ,PO Box 2203,,South Burlington,VT,Chittenden,05407,,,"501(c)(6) (Business Leagues, etc.)",Business promotion,,,S41 (Promotion of Business (Chambers of Commerce)),813910,8611,8699,,,McLaughlin Accounting Services PC,http://www.guidestar.org/profile/01-0675449,http://www.guidestar.org/FinDocuments/2016/010/675/2016-010675449-0e1b232f-ZO.pdf,$0 ,$0 ,,$0 ,,,,,$0 ,,,,,,,$0 ,,,$679 ,,,,,,,,,,,,,,,,,,,
101 Artists Colony,01-0706635,,,2003,,,1106 2nd St Ste 125,,Encinitas,CA,San Diego,92024,,,501(c)(4) (Civic Leagues and Social Welfare Organizations),Arts and culture,,,"A20 (Arts, Cultural Organizations - Multipurpose)",71,,,,,,http://www.guidestar.org/profile/01-0706635,http://www.guidestar.org/FinDocuments/2008/010/706/2008-010706635-04c7c484-ZO.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Worldly Wise Language & Culture Organization,01-0737986,,,2002,,,1801 Hwy 50 East Ste I,,Carson City,NV,Carson City,89701,,,501(c)(3) Private Nonoperating Foundation,Cultural awareness,,,"A23 (Cultural, Ethnic Awareness)",71,,,,,,http://www.guidestar.org/profile/01-0737986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Swasey Torrey American Legion Auxillary,01-6018584,,,2019,,,PO Box 117,,Dixfield,ME,Oxford,04224,,,501(c)(19) (Post or Organizations of War Veterans),Special population support,,,W30 (Military/Veterans' Organizations),813410,8641,8699,,,,http://www.guidestar.org/profile/01-6018584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0020 Me AMVETS,01-6019051,,,1945,,,256 River Rd,,Arundel,ME,York,04046,,,501(c)(19) (Post or Organizations of War Veterans),Special population support,,,W30 (Military/Veterans' Organizations),813410,8641,8699,,,,http://www.guidestar.org/profile/01-6019051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101 Enterprises Foundation,02-0713867,8/1/2018,7/31/2019,2004,2018,990EZ,PO Box 45143,,Los Angeles,CA,Los Angeles,90045,,101ENTERPRISESFOUNDATION.ORG,501(c)(3) Public Charity,Crime prevention,,,I21 (Delinquency Prevention),624110,8322,,,,KENNETH D SMITH ACCOUNTING & TAX SERVICE,http://www.guidestar.org/profile/02-0713867,http://www.guidestar.org/FinDocuments/2018/020/713/2018-020713867-1046fb26-Z.pdf,"$64,785 ","$64,785 ",,"$64,785 ",,,,"$130,316 ","$130,316 ",,"$130,316 ",,,,,,,,"$116,791 ",,,,,,,,,,,,$90 ,,,,,,,
1 Barre VT,03-0183799,,,1972,,,1338 Military St,,Port Huron,MI,Saint Clair,48060,,,501(c)(8) (Fraternal Beneficiary Societies),Insurance,,,Y20 (Insurance Providers/Services (other than Health)),52411,,,,,,http://www.guidestar.org/profile/03-0183799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Black Men of Eastern North Carolina,03-0419205,,,2004,,,3005 Ellsworth Dr,,Greenville,NC,Pitt,27834,,,501(c)(3) Public Charity,Community service,,,S82 (Men's Service Clubs),813410,8641,8699,,,,http://www.guidestar.org/profile/03-0419205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Black Men of Greater Fort Lauderdale Inc,03-0504435,1/1/2018,12/31/2018,2003,2018,990,10097 Cleary Blvd,,Plantation,FL,Broward,33324,,WWW.100BLACKMENGFL.ORG,501(c)(3) Public Charity,Community service,,,S82 (Men's Service Clubs),813410,8641,8699,N,,TRIMERGE CONSULTING GROUP PA,http://www.guidestar.org/profile/03-0504435,http://www.guidestar.org/FinDocuments/2018/030/504/2018-030504435-11286d9d-9.pdf,"$57,733 ","$57,703 ",,"$57,733 ",,,"$57,733 ","$34,606 ","$34,606 ",,"$34,606 ",,,,,$0 ,$0 ,,"$50,267 ","$48,243 ","$2,024 ",$0 ,,$179 ,,,,,,,,,,,,,,0
101St Infantry Veterans Association Inc,04-2680019,,,2013,,,17 Lilac Ln,,Weymouth,MA,Norfolk,02188,,,501(c)(19) (Post or Organizations of War Veterans),Special population support,,,W30 (Military/Veterans' Organizations),813410,8641,8699,,,,http://www.guidestar.org/profile/04-2680019,http://www.guidestar.org/FinDocuments/2014/042/680/2014-042680019-0a9ec3c1-ZO.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104Th Us Infantry Veterans Aef Association Inc,04-2769496,,,1983,,,8 Cook St,,Holyoke,MA,Hampden,01040,,,501(c)(19) (Post or Organizations of War Veterans),Special population support,,,W30 (Military/Veterans' Organizations),813410,8641,8699,,,,http://www.guidestar.org/profile/04-2769496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101St Airborne Division Association New England Chapter Inc,04-3043593,1/1/2019,12/31/2019,2016,2019,990EZ,14 Sherman Rd,,Millis,MA,Norfolk,02054,508-376-8030,,501(c)(19) (Post or Organizations of War Veterans),Diseases and conditions,,,"G99 (Diseases, Disorders, Medical Disciplines N.E.C.)",813212,8399,,,N,,http://www.guidestar.org/profile/04-3043593,http://www.guidestar.org/FinDocuments/2017/043/043/2017-043043593-0f42317f-ZO.pdf,"$2,481 ","$2,481 ",,"$2,481 ",,,,"$1,379 ",,,"$1,249 ",,,$130 ,,$0 ,,,"$1,288 ",,,,,,,,,,,,$108 ,,,,,,,
100 Percent Charity Inc,04-3332128,,,1996,,,4 Longfellow Pl Apt 3805,,Boston,MA,Suffolk,02114,,,501(c)(3) Private Nonoperating Foundation,Foundations,,,T70 (Fund Raising Organizations That Cross Categories includes Community Funds/Trusts and Federated Giving Programs) e.g. United Way),813219,8399,,,,,http://www.guidestar.org/profile/04-3332128,http://www.guidestar.org/FinDocuments/2001/043/332/2001-043332128-1-F.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-110Th Cavalry Association Inc,04-3335749,,,2004,,,23 Whitney St,,Saugus,MA,Essex,01906,,,501(c)(4) (Civic Leagues and Social Welfare Organizations),Special population support,,,W30 (Military/Veterans' Organizations),813410,8641,8699,,,,http://www.guidestar.org/profile/04-3335749,http://www.guidestar.org/FinDocuments/2007/043/335/2007-043335749-0411fca0-ZO.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103Rd Electricians Pipe & Drum Band Inc,04-3494333,,,2000,,,256 Freeport St,,Dorchester,MA,Suffolk,02122,,,501(c)(3) Public Charity,Musical ensembles and groups,,,"A6C (Music Groups, Bands, Ensembles)",711130,7929,,,,,http://www.guidestar.org/profile/04-3494333,http://www.guidestar.org/FinDocuments/2006/043/494/2006-043494333-031c3969-9.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 Club New England Power Service CO Construction Depart Health & Be,04-6168174,,,1969,,,904 Hartford Tpke,,Shrewsbury,MA,Worcester,01545,,,501(c)(9) (Employees Associations),Engineering,,,U42 (Engineering),54171,,,,,,http://www.guidestar.org/profile/04-6168174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Black Men of Tampa Bay Inc,05-0598851,1/1/2014,12/31/2014,2004,2014,990EZ,PO Box 22461,,Tampa,FL,Hillsborough,33622,,WWW100MTB.ORG,501(c)(3) Public Charity,Community service,,,S82 (Men's Service Clubs),813410,8641,8699,,,THE HOUSE OF TAXES LLC,http://www.guidestar.org/profile/05-0598851,http://www.guidestar.org/FinDocuments/2014/050/598/2014-050598851-0b95adfc-Z.pdf,"$25,437 ","$25,437 ",,"$25,437 ",,,,"$15,513 ","$15,513 ",,"$15,513 ",,,,,$0 ,,,"$21,882 ",,,,,,,,,,,,$275 ,,,,,,,
102Nd Infantry Division Association,06-0934008,,,1982,,,2322 Tanglewood Dr,,Toledo,OH,Lucas,43614,,,501(c)(19) (Post or Organizations of War Veterans),Public administration,,,W20 (Government and Public Administration),813410,8641,8699,,,,http://www.guidestar.org/profile/06-0934008,http://www.guidestar.org/FinDocuments/2010/060/934/2010-060934008-0682704c-ZO.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102nd Infantry Regiment Museum Inc.,06-1354580,,,1995,,,30 Hood Ter,,West Haven,CT,New Haven,06516,(203) 934-1111,www.whmilmuseum.org,501(c)(3) Public Charity,Commemorations,Education services,Special population support,A84 (Commemorative Events),712120,8412,,,,,http://www.guidestar.org/profile/06-1354580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Chasney ,Arlene DeGrand Painter ,Manager,arlenepainter@cox.net,
100 Black Men of Stamford Inc,06-1367429,1/1/2018,12/31/2018,1994,2018,990EZ,PO Box 1313,,Stamford,CT,Fairfield,06904,914-909-4952,WWW.100BMOS.COM,501(c)(3) Public Charity,Community service,,,S82 (Men's Service Clubs),813410,8641,8699,,,MARKS PANETH LLP,http://www.guidestar.org/profile/06-1367429,http://www.guidestar.org/FinDocuments/2018/061/367/2018-061367429-17162688-Z.pdf,"$42,857 ","$42,857 ",,"$42,857 ",,,,"$112,118 ","$112,118 ",,"$112,118 ",,,,,$0 ,,,"$90,760 ",,,,,,,,,,,,,,,,,,,
100 Black Men of Bridgeport Inc,06-1432160,,,1996,,,145 Griffin Ave,,Bridgeport,CT,Fairfield,06606,,,501(c)(3) Private Nonoperating Foundation,Community service,,,S82 (Men's Service Clubs),813410,8641,8699,,,,http://www.guidestar.org/profile/06-1432160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102D Infantry Regiment Association Inc,06-1465130,,,1999,,,142 Westville Avenue Ext,,Danbury,CT,Fairfield,06811,,,501(c)(19) (Post or Organizations of War Veterans),Special population support,,,W30 (Military/Veterans' Organizations),813410,8641,8699,,,,http://www.guidestar.org/profile/06-1465130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-By-1,06-1686521,,,2003,,,PO Box 7775,,San Francisco,CA,San Francisco,94120,,,501(c)(3) Public Charity,Homeless shelters,,,L41 (Temporary Shelter For the Homeless),624221,8322,,,,,http://www.guidestar.org/profile/06-1686521,http://www.guidestar.org/FinDocuments/2010/061/686/2010-061686521-076a6c8e-Z.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Men Who Care Inc,06-1791428,1/1/2016,12/31/2016,2013,2016,990,300 E 12th Ave,,Pine Bluff,AR,Jefferson,71601,870-535-6469,,501(c)(3) Public Charity,Youth organizing,,,O50 (Youth Development Programs),813410,8641,8699,,N,,http://www.guidestar.org/profile/06-1791428,http://www.guidestar.org/FinDocuments/2016/061/791/2016-061791428-0edb679c-9.pdf,"$2,297 ","$2,297 ",$0 ,"$2,297 ",,,,$587 ,$587 ,$0 ,$587 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,,,,,,,,,,,,Clifton Oneal,,,,,
1049 Management Corporation,11-2170742,1/1/2018,12/31/2018,2009,2018,990EZ,100 Corporate Dr,,Holtsville,NY,Suffolk,11742,631-234-1800,www.ibew1049.org,501(c)(2) (Title Holding Corporation),Real estate,,,S47 (Real Estate Organizations),531390,6531,,,N,Gould Kobrick & Schlapp PC,http://www.guidestar.org/profile/11-2170742,http://www.guidestar.org/FinDocuments/2018/112/170/2018-112170742-17039526-ZO.pdf,$76 ,$76 ,,$76 ,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104Th Precinct Youth Council,11-2661625,,,1991,,,6459 Cooper Ave,,Glendale,NY,Queens,11385,,,501(c)(3) Public Charity,Youth services,,,O23 (Boys and Girls Clubs (Combined)),624110,8322,,,,,http://www.guidestar.org/profile/11-2661625,http://www.guidestar.org/FinDocuments/2005/112/661/2005-112661625-0295c06d-Z.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056 Equities Inc,11-2786116,1/1/2018,12/31/2018,1986,2018,990,21112 Union Tpke,,Oakland Gardens,NY,Queens,11364,718-949-6444,,501(c)(2) (Title Holding Corporation),Real estate,,,S47 (Real Estate Organizations),531390,6531,,N,,Howard L. Werbrock CPA,http://www.guidestar.org/profile/11-2786116,http://www.guidestar.org/FinDocuments/2018/112/786/2018-112786116-17006529-9O.pdf,"$2,940,345 ","$45,799 ",,"($74,087)",,,,$129 ,$129 ,$129 ,,,,,,"$3,105,174 ","$3,096,134 ",,"$172,273 ","$172,273 ",$0 ,$0 ,"$1,000 ",,,"$1,771 ","$56,506 ",,,,,,MARK HENRY,,,,,0
005-517 Mary G Clarkson PTA,11-3017478,,,1954,,,1415 E 3rd Ave,,Bay Shore,NY,Suffolk,11706,,,501(c)(3) Public Charity,Parent-teacher involvement,,,B94 (Parent Teacher Group),813410,8641,8699,,,,http://www.guidestar.org/profile/11-3017478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049 Local Craft Div Skill Improvem,11-3078707,1/1/2018,12/31/2018,2016,2018,990,100 Corporate Dr,,Holtsville,NY,Suffolk,11742,631-234-1803,WWW.IBEW1049.ORG,501(c)(3) Public Charity,Vocational education,,,A40 (Visual Arts Organizations),71,,,N,N,Gould Kobrick & Schlapp PC,http://www.guidestar.org/profile/11-3078707,http://www.guidestar.org/FinDocuments/2018/113/078/2018-113078707-17146256-9.pdf,"$11,697,223 ","$1,376,976 ","$9,864,270 ","$11,550,519 ",,,,"$3,241,878 ","$4,995,976 ","$176,492 ",$0 ,,$0 ,$0 ,"$2,801,984 ","$146,704 ",$0 ,,"$2,128,632 ","$1,899,896 ","$228,736 ",$0 ,"$20,872 ",$0 ,"$17,833 ","$13,429 ",$0 ,$0 ,"$6,603 ","$3,829 ",,$0 ,RONALD BAUER,,,,,17
100 Black Women of Long Island Foundation Inc,11-3101805,,,1995,,,200 E Pennywood Ave,,Roosevelt,NY,Nassau,11575,,,501(c)(3) Public Charity,Community service,,,S81 (Women's Service Clubs),813410,8641,8699,,,,http://www.guidestar.org/profile/11-3101805,http://www.guidestar.org/FinDocuments/2005/113/101/2005-113101805-020e43bd-Z.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 in 9 the Long Island Breast Cancer Action Coalition,11-3195645,,,1994,,,86 E Rockaway Rd,,Hewlett,NY,Nassau,11557,(516) 374-3190,www.hewletthouse.org,501(c)(3) Public Charity,Human services,Public health,Cancers,G30 (Cancer),813212,8399,,,,,http://www.guidestar.org/profile/11-3195645,http://www.guidestar.org/FinDocuments/2006/113/195/2006-113195645-0429c694-9.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mrs. Geri Barish ,Geri Barish ,,info@1in9.org,
100Th Precinct Community Council Inc,11-3217458,,,1996,,,PO Box 940626,,Rockaway Park,NY,Queens,11694,,,501(c)(3) Public Charity,Community and economic development,,,"S99 (Community Improvement, Capacity Building N.E.C.)",813410,8641,8699,,,,http://www.guidestar.org/profile/11-3217458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040 Kids Inc,11-3448930,,,1999,,,1040 Waverly Ave Stop 630,,Holtsville,NY,Suffolk,11742,,,501(c)(3) Public Charity,Child care,,,P33 (Child Day Care),624410,8351,,,,,http://www.guidestar.org/profile/11-3448930,http://www.guidestar.org/FinDocuments/2014/113/448/2014-113448930-0b5dcdc9-Z.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 Debt Inc,11-3547064,,,2001,,,2930 Wynsum Ave,,Merrick,NY,Nassau,11566,,,501(c)(3) Private Nonoperating Foundation,Financial counseling,,,"P51 (Financial Counseling, Money Management)",624190,8322,,,,,http://www.guidestar.org/profile/11-3547064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Miles Off-Broadway Inc,11-3597716,,,2002,,,347 W Olive St,,Long Beach,NY,Nassau,11561,,,501(c)(3) Public Charity,Dance,,,A62 (Dance),711120,7922,,,,,http://www.guidestar.org/profile/11-3597716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Black Men of L I Development Corp,11-3617702,,,2002,,,9 Centre St,,Hempstead,NY,Nassau,11550,,,501(c)(2) (Title Holding Corporation),Community service,,,S47 (Real Estate Organizations),531390,6531,,,,,http://www.guidestar.org/profile/11-3617702,http://www.guidestar.org/FinDocuments/2006/113/617/2006-113617702-037df12b-9O.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
