"Org Name","EIN","Current FY Start","Current FY End","Ruling Year","Form Year","Form Type","Address Line 1","Address Line 2","City","State","County",Zip,"Org Phone Number","Web Address","IRS Subsection","Subject Area 1","Subject Area 2","Subject Area 3","NTEE Code","NAICS Code","SIC Code1","SIC Code2","Audit Required?","Has filed 990T?","Paid Preparer Firm Name","Link to GS Profile Page","Link to most recent Form 990","Total Assets","Cash & Equivalent","Investments Securities","Net Assets","Temporarily Restricted Net Assets","Permanently Restricted Net Assets","Unrestricted Net Assets","Total Revenue","Gross Receipts","Investment Income","Total Contributions","Government Grants","Special Events","Sales","Program Services Revenue","Total Liabilities","Loans and Notes","Tax-Exempt Bond Liabilities","Total Expenses","Total Program Expenses","Total Administrative Expenses","Total Fundraising Expenses","Accounting Fees","Advertising Expenses","Information Technology Expenses","Insurance Expenses","Interest Expenses","Investment Management Fees","Legal Fees","Pension Plan Contributions   Employee Benefits","Printing and Publications","Professional Fundraising Expenses","Principal Officer","Org Leader","Primary Contact Name","Primary Contact Title","Primary Contact Email","Number of Employees"
"C Weaver Squier Tr Uw","10-6004818","2018-01-01","2018-12-31","2004","2018","990PF","4900 Tiedeman Rd","","Cleveland","OH","Cuyahoga",="44144","860-293-4157","","501(c)(3) Private Nonoperating Foundation","Visual arts","","","A40 (Visual Arts Organizations)","71","","","","","","http://www.guidestar.org/profile/10-6004818","http://www.guidestar.org/FinDocuments/2018/106/004/2018-106004818-109e0100-F.pdf","$223,956","","","$223,956","","","","$12,760","$53,816","$12,170","$6,750","","","","","","","","$11,403","","","","","","","","","","","","","","","","","","",""
"Cinergy Active Employee VEBA Tr","10-6005656","","","2004","","","PO Box 185","","Pittsburgh","PA","Allegheny",="15230","","","501(c)(9) (Employees Associations)","Insurance","","","Y20 (Insurance Providers/Services (other than Health))","52411","","","","","","http://www.guidestar.org/profile/10-6005656","http://www.guidestar.org/FinDocuments/2005/106/005/2005-106005656-02a02eec-9O.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marjorie F Campbell Educational Trust","10-6006537","2018-01-01","2018-12-31","2007","2018","990PF","PO Box 1810","","Sanford","ME","York",="04073","207-608-2047","","501(c)(3) Private Nonoperating Foundation","Education","","","B11 (Single Organization Support)","813219","8399","","","","","http://www.guidestar.org/profile/10-6006537","http://www.guidestar.org/FinDocuments/2017/106/006/2017-106006537-0fda77c6-F.pdf","$142,119","","$142,119","$142,119","","","","$5,640","$27,608","$7,589","$7,500","","","","","","","","$16,745","","","","$1,918","","","","","","","","","","","","","","",""
"Koinonia","11-0000597","","","1972","","","16215 State Road 50 Ste 304","","Clermont","FL","Lake",="34711","","","501(c)(3) Public Charity","Religion","","","X99 (Religion Related, Spiritual Development N.E.C.)","813110","8661","","","","","http://www.guidestar.org/profile/11-0000597","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mision Cristiana Rehoboth of Nassau County","11-0005070","","","1999","","","11 Irma Ave","","Port Washington","NY","Nassau",="11050","","","501(c)(3) Public Charity","Christianity","","","X20 (Christian)","813110","8661","","","","","http://www.guidestar.org/profile/11-0005070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rca Communications Retirees Association Inc","11-0011024","","","1990","","","63 Meadowbrook Rd","","Hempstead","NY","Nassau",="11550","","","501(c)(5) (Labor, Agricultural and Horticultural Organizations)","Communication media","","","A30 (Media, Communications Organizations)","51","","","","","","http://www.guidestar.org/profile/11-0011024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Congregation Melev Tov","11-0012403","","","1985","","","558 Bedford Ave Apt 1b","","Brooklyn","NY","Kings",="11249","","","501(c)(3) Public Charity","Christianity","","","X20 (Christian)","813110","8661","","","","","http://www.guidestar.org/profile/11-0012403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rabbi Jonathan Silberberg Foundation","11-0016105","","","1990","","","1542 47th St","","Brooklyn","NY","Kings",="11219","","","501(c)(3) Public Charity","Religion","","","X99 (Religion Related, Spiritual Development N.E.C.)","813110","8661","","","","","http://www.guidestar.org/profile/11-0016105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Friends of Westons Council On Aging Inc","11-0016148","2018-07-01","2019-06-30","1990","2018","990EZ","PO Box 672","","Weston","MA","Middlesex",="02493","781-647-0807","N/A","501(c)(3) Public Charity","Senior services","","","P81 (Senior Centers/Services)","624120","8322","","","","INGLE & ASSOCIATES LLC","http://www.guidestar.org/profile/11-0016148","http://www.guidestar.org/FinDocuments/2019/110/016/2019-110016148-1151e8f6-Z.pdf","$156,917","$156,917","","$156,917","","","","$49,225","$49,225","$3,288","$45,622","","","","$315","$0","","","$58,066","","","","","","","","","","","","$5,423","","","","","","",""
"Meier Bernstein Foundation","11-0017047","2018-01-01","2018-12-31","1990","2018","990PF","10 Plaza St E Apt 9g","","Brooklyn","NY","Kings",="11238","212-571-2300","","501(c)(3) Private Nonoperating Foundation","Foundations","","","T20 (Private Grantmaking Foundations)","813211","6732","","","","","http://www.guidestar.org/profile/11-0017047","http://www.guidestar.org/FinDocuments/2018/110/017/2018-110017047-17047027-F.pdf","$1,654,086","$134,534","$718,474","$1,654,086","","","","$89,996","$124,941","$72,521","$98,400","","","","","$0","","","$149,387","","","","$4,000","","","","","","","","","","","","","","",""
