Company Name,Mission Statement
Benetech,To empower communities with software for social good by uniting social sector and Silicon Valley
CAST,To transform education design and practice until learning has no limits
CHC ,"To transform young lives by providing best-in-class learning and mental health services to families regardless of language, location or ability to pay."
Child Mind Institute,to transforming the lives of children and families struggling with mental health and learning disorders
Common Sense,"to improving the lives of all kids and families by providing the trustworthy information, education, and independent voice"
Emily Hall Tremaine Foundation,"will seek and fund innovative projects that advance solutions to basic and enduring problems on education of Art, environment, and learning differences"
Eye to Eye,to improve the life of every young person with learning differences like learning disabilities (LD) and Attention Deficit Hyperactivity Disorder (ADHD).
GreatSchools,GreatSchools is the leading national nonprofit empowering parents to unlock educational opportunities for their child.
Learning Disabilities Assocciation of America,"LDA’s mission is to create opportunities for success for all individuals affected by learning disabilities through support, education, and advocacy."
National Center for Learning Disabilities,"The Organization is about to provide children with special needs. eg Promoting Early Identification, Intervention, and assessment services."
New Profit,"New Profit is a venture philanthropy organization that surrounds social entrepreneurs with the support they need to break through. In partnership with a national network of philanthropists, we provide unrestricted growth capital and strategic expertise to a diverse portfolio of social entrepreneurs. In addition to providing direct support to our portfolio, we invest in new ideas and strengthen the ecosystem that exists around social entrepreneurs to help them thrive."
Oak Foundation,"Oak Foundation commits its resources to address issues of global, social and environmental concern, particularly those that have a major impact on the lives of the disadvantaged."
Poses Family Foundation,"The Poses Family Foundation (PFF) is a New York City-based foundation established by Nancy and Fred Poses. PFF is dedicated to bringing about significant positive impact in five focus areas, the largest being learning disabilities, through a combination of business disciplines, nonprofit expertise, funding and passion."
Reading Rockets,Reading Rockets' mission is to take that research-based and best-practice information and make it available to as many people as possible through the power and reach of television and the Internet.
The Peter and Elizabeth C. Tower Foundation,"As grantmaker, partner, and advocate, the Tower Foundation strengthens organizations and works to change systems to improve the lives of young people with learning disabilities, mental illness, substance use disorders, and intellectual disabilities."
TNTP,TNTP's mission is to end the injustice of educational inequality by providing excellent teachers to the students who need them most and by advancing policies and practices that ensure effective teaching in every classroom.
Relay Graduate School of Education,Relay's mission is to teach teachers and school leaders to develop in all students the academic skills and strength of character needed to succeed in college and life.
anet achievement network,ANet is a nonprofit dedicated to expanding educational equity for all students. We work alongside leadership teams to support teachers' use of standards and data to achieve breakthrough results for students.
New Visions For Public Schools,"Our mission is to ensure all New York City public school students, regardless of race or economic class, have access to a high-quality education that prepares them for the rigors of college and the workforce."
New Teacher Center,"New Teacher Center's mission is to disrupt the predictability of educational inequities for systemically underserved students by accelerating educator effectiveness. Our mission is supported with generous contributions from a number of philanthropic organizations.
"
