Org Name,Total Assets,Total Revenue,Number of Employees
"Connection Fund, Inc.",11383533.0,10003333.0,63.0
Essex County Arc Facilities Inc,4258458.0,706595.0,0.0
"The Urban Assembly, Inc.",2165941.0,5242311.0,115.0
Amityville Cemetery Association,10553423.0,1203866.0,2.0
Cedar Grove Cemetery Association,368609853.0,21806707.0,139.0
Cedar Lawn Cemetary Association,2937362.0,259326.0,3.0
Boy Scouts of America,1936046.0,2339349.0,72.0
Edith and Carl Marks Jewish Community House of Bensonhurst Inc,13992203.0,11222764.0,358.0
Friends Academy,106627980.0,31301505.0,376.0
The Packer Collegiate Institute,135977011.0,56861438.0,459.0
HeartShare Human Services of New York,56218363.0,102427263.0,2336.0
Green Vale School,60187105.0,16997700.0,183.0
New York Armenian Home Inc,49803791.0,47664161.0,26.0
Water Mill Beach Club Inc,1434616.0,536043.0,11.0
Society of St Vincent De Paul in Diocese of Rockville Centre,6112610.0,6535507.0,103.0
Society of St Johnland,21687020.0,351292.0,8.0
Honor Emergency Fund of the Fire Department of the City of New York,19468768.0,1395186.0,3.0
Warbasse Nursery School Inc,418392.0,1780509.0,28.0
North Shore Nursery School,373083.0,455524.0,28.0
Cornerstone Day Care Center Inc,16267.0,640608.0,11.0
American Federation of Teachers,320384.0,374737.0,1.0
Flushing Day Care Center Inc,139451.0,549427.0,10.0
Colony-South Brooklyn Houses Inc,2227340.0,4590491.0,90.0
Blanche Community Progress Day Care Center Inc,481932.0,5810851.0,72.0
Hadar Hatorah Inc,632615.0,551843.0,20.0
Putnam Day Care Center,0.0,0.0,0.0
John Edward Bruce Day Care Center Number 2,194630.0,563019.0,14.0
Veterans of Foreign Wars of the 8328 VFW-NY,467605.0,96401.0,0.0
Rosa Lee Young Childhood Center,368110.0,801954.0,22.0
Senior Citizens of Westbury Inc,277127.0,215098.0,8.0
"ASSOCIATION FOR NEUROLOGICALLY IMPAIRED BRAIN INJURED CHILDREN, INC",7379798.0,11323503.0,247.0
Bnos Yakov Educational Center,75063.0,75000.0,0.0
Farmingdale Federation of Teachers Benefit Fund,839918.0,941405.0,0.0
Yeshiva Derech Chaim,2048181.0,2931033.0,46.0
Child Development Support Corp,2858415.0,1502880.0,17.0
North Side School,329590.0,2461400.0,57.0
200 Central Avenue Day Care Center,59768.0,698581.0,21.0
American Federation of Teachers,0.0,363976.0,28.0
Jewish Care Services of Long Island Inc,0.0,733918.0,0.0
West Babylon Community Youth Center Inc,30642.0,170907.0,67.0
The Health Science Center at Brooklyn Foundation Inc,145617211.0,10089620.0,81.0
Suffolk Y Jewish Community Center Inc,3479932.0,6795128.0,410.0
Farragut Day Care Center Inc,57384.0,465271.0,18.0
Suffolk Academy of Law,466328.0,347791.0,0.0
Auxiliary Service Corp,5201922.0,6052770.0,1.0
Independent Group Home Living Program Inc,69475943.0,71101946.0,1598.0
Queens County Educators for Tomorrow Inc,622105.0,3938372.0,91.0
68Th Precinct Youth Council Inc,184883.0,161080.0,0.0
ParentChild+ Inc.,3910488.0,4600119.0,19.0
Centro Civico Colombiano Inc,15805.0,96889.0,0.0
Peconic United Methodist Housing Development Fund Company Inc,4773108.0,8629087.0,9.0
Riverhead Hostel Holding Corp,1024307.0,0.0,0.0
Little Peoples Child Development Center Inc,-12253.0,104315.0,3.0
BEER HAGOLAH INSTITUTES INC,3730359.0,4551470.0,125.0
Littig House Community Center Inc,198655.0,684545.0,4.0
Freeport Rifle & Revolver Assoc Inc,688081.0,376614.0,0.0
Crown Heights Youth Collective Inc,127249.0,178983.0,28.0
"FEDERATION OF ITALIAN AMERICAN ORGANIZATIONS OF BROOKLYN, LTD",19027396.0,5911608.0,440.0
Forest Park Senior Citizens Center Inc,15392.0,125168.0,3.0
Inas USA Cisl Centro Luigi Antonini Inc,21052.0,304017.0,6.0
Riseboro Homecare Inc,11442228.0,37414643.0,1588.0
Psc Community Services Inc,8669330.0,29114048.0,980.0
NEW YORK CITY COLLEGE OF TECHNOLOGY FOUNDATION INC,5862076.0,994222.0,0.0
American Federation of Teachers,307174.0,408152.0,13.0
Eastern Association of Equipment Lessors Inc,0.0,291940.0,1.0
Merokee Day School,31983.0,540851.0,26.0
Lexington Center for Mental Health Services Inc,482545.0,818378.0,20.0
World Heritage International Student Exchange Programs Inc,1151360.0,655830.0,0.0
The Marion & Aaron Gural JCC,12196730.0,6750586.0,234.0
Stony Brook Radiology University Faculty Practice Corporation,6518949.0,36935245.0,49.0
Sanatan Dharam Maha Sabha of the West Indies Inc,325313.0,69754.0,0.0
"Friends of the Cold Spring Harbor Fish Hatchery, Inc.",206857.0,404174.0,16.0
Hudsonia Limited,90040.0,337963.0,7.0
The Opportunity Pre-School CO,179789.0,2275441.0,100.0
Charosa Foundation Corporation,1468.0,77030.0,3.0
Life-Skills Home Training Tutorial Program for Pre-Schoolers Inc,1768174.0,7197996.0,142.0
"Human Understanding and Growth Services,  Inc",225858.0,594080.0,0.0
Hispanic Brotherhood of Rockville Centre Inc,467879.0,689513.0,20.0
Patchogue-Medford Youth Soccer League Inc,94509.0,146677.0,0.0
Spanish Speaking Elderly Council - Raices Inc,940396.0,3119979.0,43.0
New Beginnings Family & Childrens Services Inc,244663.0,681239.0,3.0
Bdc Early Childhood Services Inc,620960.0,659868.0,8.0
Northport Employees Day Care Inc,93371.0,725021.0,55.0
Brooklyn Tech Alumni Foundation Inc,14406190.0,2409645.0,7.0
CITY LORE INC,1778191.0,2871596.0,32.0
K I D S of the Local 14 Operating Engineers Inc,243787.0,30370.0,0.0
PTA New York Congress,32005.0,158.0,0.0
American Friends of Ilan Inc,27348.0,79929.0,0.0
Meals On Wheels of Huntington Township Corp,211293.0,174862.0,3.0
L I Child and Family Development Services Inc,9029737.0,20411372.0,441.0
Women Economic Developers of Long Island Inc,3203.0,20495.0,0.0
American Federation of Teachers,199392.0,379728.0,20.0
"TOPS for You, Inc.",114252.0,186228.0,7.0
Islip School Age Child Care Corporation,421597.0,394425.0,27.0
Stony Brook Child Care Services Inc,2718731.0,3096754.0,162.0
Main Street Legal Services Inc,341610.0,375542.0,1.0
Kayama Inc,21400.0,41517.0,0.0
Taiwan Center Inc,1834969.0,759350.0,11.0
Council of Jewish Organization of Flatbush Inc,2019620.0,4025594.0,115.0
