"Org Name","EIN","Current FY Start","Current FY End","Ruling Year","Form Year","Form Type","Address Line 1","Address Line 2","City","State","County",Zip,"Org Phone Number","Web Address","IRS Subsection","Subject Area 1","Subject Area 2","Subject Area 3","NTEE Code","NAICS Code","SIC Code1","SIC Code2","Audit Required?","Has filed 990T?","Paid Preparer Firm Name","Link to GS Profile Page","Link to most recent Form 990","Total Assets","Cash & Equivalent","Investments Securities","Net Assets","Temporarily Restricted Net Assets","Permanently Restricted Net Assets","Unrestricted Net Assets","Total Revenue","Gross Receipts","Investment Income","Total Contributions","Government Grants","Special Events","Sales","Program Services Revenue","Total Liabilities","Loans and Notes","Tax-Exempt Bond Liabilities","Total Expenses","Total Program Expenses","Total Administrative Expenses","Total Fundraising Expenses","Accounting Fees","Advertising Expenses","Information Technology Expenses","Insurance Expenses","Interest Expenses","Investment Management Fees","Legal Fees","Pension Plan Contributions   Employee Benefits","Printing and Publications","Professional Fundraising Expenses","Principal Officer","Org Leader","Primary Contact Name","Primary Contact Title","Primary Contact Email","Number of Employees"
"CHC: Creating Healthier Communities","13-6167225","2018-07-01","2019-06-30","1985","2018","990","1199 N Fairfax St","Ste 600","Alexandria","VA","Alexandria City",="22314","(800) 654-0845","http://www.chcimpact.org","501(c)(3) Public Charity","Diseases and conditions","Philanthropy","Health","E12 (Fund Raising and/or Fund Distribution)","813219","8399","","N","","CHERRY BEKAERT LLP","http://www.guidestar.org/profile/13-6167225","http://www.guidestar.org/FinDocuments/2018/136/167/2018-136167225-11020dbb-9.pdf","$26,124,414","$10,412,473","$1,996,183","$8,495,287","","","$8,495,287","$22,563,313","$22,576,018","$72,101","$21,322,342","","$7,615","","$1,153,295","$17,629,127","$0","","$21,520,475","$20,480,419","$729,497","$310,559","$69,074","$13,426","","$60,630","","$6,665","$88,730","$157,559","","","THOMAS G BOGNANNO","Mr. Thomas G. Bognanno ","Shelley Hayes ","Chief Development Officer","shayes@chcimpact.org","55"
"CAST, Inc.","22-2746879","2017-10-01","2018-09-30","1986","2017","990","200 Harvard Mill Sq Ste 210","","Wakefield","MA","Middlesex",="01880","(781) 245-2212","www.cast.org","501(c)(3) Public Charity","Education","Educational management","Assistive technology","B05 (Research Institutes and/or Public Policy Analysis)","541720","8733","8732","Y","","MOODY FAMIGLIETTI & ANDRONICO LLP","http://www.guidestar.org/profile/22-2746879","http://www.guidestar.org/FinDocuments/2018/222/746/2018-222746879-11175074-9.pdf","$5,992,563","$2,082,072","$2,649,964","$5,303,086","$508,102","$64,847","$4,730,137","$9,459,931","$9,459,931","$9,219","$6,470,100","$5,235,528","","","$2,928,503","$689,477","$0","","$9,433,286","$6,867,332","$2,184,875","$381,079","$39,193","$36,264","$153,399","$7,938","","","$11,078","$198,497","","","LINDA GERSTLE","Linda Gerstle ","Ms. Cynthia L Reeves ","Development Associate","creeves@cast.org","51"
"BENETECH","77-0555413","2018-01-01","2018-12-31","2001","2018","990","480 California Ave Ste 201","","Palo Alto","CA","Santa Clara",="94306","(650) 644-3400","www.benetech.org","501(c)(3) Public Charity","Arts administration","Libraries","Human rights","A02 (Management & Technical Assistance)","541618","8748","","Y","Y","LINDQUIST VON HUSEN & JOYCE LLP","http://www.guidestar.org/profile/77-0555413","http://www.guidestar.org/FinDocuments/2018/770/555/2018-770555413-17119883-9.pdf","$5,238,161","$2,219,818","","$3,000,815","$2,232,744","","$768,071","$13,780,014","$13,780,014","$14,759","$3,112,638","","","","$10,652,617","$2,237,346","$0","","$12,728,000","$10,554,033","$2,139,377","$34,590","","","","$19,660","","","","$100,831","","","ELIZABETH BEAUMON","Betsy Beaumon ","Mr. Joel Riciputi ","VP, Marketing","info@benetech.org","86"
"CHILD MIND INSTITUTE INC","80-0478843","2017-10-01","2018-09-30","2009","2017","990","101 E 56th St","","New York","NY","New York",="10022","(212) 308-3118","www.childmind.org","501(c)(3) Public Charity","Health","Mental health care","Community mental health care","F11 (Single Organization Support)","813219","8399","","N","Y","EISNERAMPER LLP","http://www.guidestar.org/profile/80-0478843","http://www.guidestar.org/FinDocuments/2018/800/478/2018-800478843-10a6cb7d-9.pdf","$26,639,068","$4,421,899","$5,845,851","$23,935,102","$15,379,512","$2,000,000","$6,555,590","$15,859,606","$27,125,559","$218,095","$14,478,694","$722,248","$0","$0","$79,241","$2,703,966","$0","$0","$16,840,095","$9,567,876","$4,864,667","$2,407,552","$63,367","$19,946","$674,409","$184,241","$0","$46,547","$38,124","$211,482","","$201,700","DR HAROLD KOPLEWICZ MD","Harold S. Koplewicz MD","Mimi Corcoran ","Executive Director","info@childmind.org","111"
"New Profit","04-3396766","2018-01-01","2018-12-31","1998","2018","990","225 Franklin St Ste 350","","Boston","MA","Suffolk",="02110","(617) 912-8800","http://www.newprofit.org/","501(c)(3) Public Charity","Philanthropy","Venture philanthropy","Social enterprise","T99 (Other Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C.)","813219","8399","","N","Y","ALEXANDER ARONSON FINNING & CO PC","http://www.guidestar.org/profile/04-3396766","http://www.guidestar.org/FinDocuments/2018/043/396/2018-043396766-17054034-9.pdf","$50,713,445","$20,452,430","","$49,914,025","$46,698,859","","$3,215,166","$28,289,763","$28,289,763","$272,169","$27,482,118","","","","$529,725","$799,420","$0","","$22,945,350","$18,672,585","$2,460,443","$1,812,322","$42,689","","","","","","","$135,566","","","DOUG BORCHARD","Mrs. Vanessa Kirsch ","Sara Conahan ","Managing Partner, Senior Philanthropic Advisor","sara_conahan@newprofit.org","74"
"National Center for Learning Disabilities, Inc.","13-2899381","2018-01-01","2018-12-31","1977","2018","990","1 Thomas Cir NW Ste 700","","Washington","DC","District of Columbia",="20005","(212) 545-7510","http://www.ncld.org/","501(c)(3) Public Charity","Education","Public affairs","Disabled persons' rights","W99 (Public, Society Benefit - Multipurpose and Other N.E.C.)","813410","8641","8699","N","Y","PKF O'CONNOR DAVIES LLP","http://www.guidestar.org/profile/13-2899381","http://www.guidestar.org/FinDocuments/2018/132/899/2018-132899381-17067790-9.pdf","$7,495,477","$4,676,744","$10,366","$6,770,216","$5,423,005","","$1,347,211","$15,793,798","$16,072,517","$979","$14,205,448","","-$94,132","","$1,678,000","$725,261","$0","","$12,227,895","$9,513,100","$1,723,871","$990,924","$30,500","","$244,689","$28,370","","","$45,700","$216,766","","$233,510","LINDSAY E JONES","Ms. Lindsay Jones ","Ms. Kelly Fomalont ","Program Associate","kfomalont@ncld.org","70"
"Poses Family Foundation","20-6375470","2018-01-01","2018-12-31","2005","2018","990PF","145 Hudson St Ste 5b","","New York","NY","New York",="10013","646-613-8934","","501(c)(3) Private Nonoperating Foundation","Foundations","","","T22 (Private Independent Foundations)","813211","6732","","","","","http://www.guidestar.org/profile/20-6375470","http://www.guidestar.org/FinDocuments/2018/206/375/2018-206375470-17003655-F.pdf","$685,004,481","$17,187,669","$644,205,194","$684,838,299","","","","$43,323,627","$81,268,329","$35,450,791","$11,401,403","","","","","$166,182","","","$28,608,490","","","","$131,625","","","","$598,623","","$354,301","","","","","","","","",""
"The Emily Hall Tremaine Foundation, Inc.","22-2533743","2018-01-01","2018-12-31","1985","2018","990PF","171 Orange St","","New Haven","CT","New Haven",="06510","(203) 639-5544","tremainefoundation.org","501(c)(3) Private Nonoperating Foundation","Arts and culture","Special needs education","Philanthropy","T99 (Other Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C.)","813219","8399","","","","","http://www.guidestar.org/profile/22-2533743","http://www.guidestar.org/FinDocuments/2018/222/533/2018-222533743-17003388-F.pdf","$79,640,885","$16,274","","$79,640,885","","","","$3,608,292","$350,663","$3,605,325","$2,610,670","","","","","$0","","","$4,522,725","","","","$29,082","","","","","","","$135,336","","","","Mr. Michelle Knapik ","Veronica Korn ","","korn@tremainefoundation.org",""
"Oak Foundation","27-4741901","2018-01-01","2018-12-31","2012","2018","990PF","PO Box 5628","","Minneapolis","MN","Hennepin",="55440","952-674-2800","","501(c)(3) Private Nonoperating Foundation","Foundations","","","T20 (Private Grantmaking Foundations)","813211","6732","","","","","http://www.guidestar.org/profile/27-4741901","http://www.guidestar.org/FinDocuments/2018/274/741/2018-274741901-1156d895-F.pdf","$2,788,068","$113,937","$2,413,420","$2,788,068","","","","$40,565","$94,079","$55,477","$88,500","","","","","$0","","","$107,018","","","","","","","","$394","","","","","","","","","","",""
"Learning Disabilities Association","34-1646934","","","1970","","","1611 State Route 60","","Ashland","OH","Ashland",="44805","","","501(c)(3) Public Charity","Education","","","B03 (Professional Societies & Associations)","813920","8621","","","","","http://www.guidestar.org/profile/34-1646934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
