"Org Name","EIN","Current FY Start","Current FY End","Ruling Year","Form Year","Form Type","Address Line 1","Address Line 2","City","State","County",Zip,"Org Phone Number","Web Address","IRS Subsection","Subject Area 1","Subject Area 2","Subject Area 3","NTEE Code","NAICS Code","SIC Code1","SIC Code2","Audit Required?","Has filed 990T?","Paid Preparer Firm Name","Link to GS Profile Page","Link to most recent Form 990","Total Assets","Cash & Equivalent","Investments Securities","Net Assets","Temporarily Restricted Net Assets","Permanently Restricted Net Assets","Unrestricted Net Assets","Total Revenue","Gross Receipts","Investment Income","Total Contributions","Government Grants","Special Events","Sales","Program Services Revenue","Total Liabilities","Loans and Notes","Tax-Exempt Bond Liabilities","Total Expenses","Total Program Expenses","Total Administrative Expenses","Total Fundraising Expenses","Accounting Fees","Advertising Expenses","Information Technology Expenses","Insurance Expenses","Interest Expenses","Investment Management Fees","Legal Fees","Pension Plan Contributions   Employee Benefits","Printing and Publications","Professional Fundraising Expenses","Principal Officer","Org Leader","Primary Contact Name","Primary Contact Title","Primary Contact Email","Number of Employees"
"Marjorie F Campbell Educational Trust","10-6006537","2018-01-01","2018-12-31","2007","2018","990PF","PO Box 1810","","Sanford","ME","York",="04073","207-608-2047","","501(c)(3) Private Nonoperating Foundation","Education","","","B11 (Single Organization Support)","813219","8399","","","","","http://www.guidestar.org/profile/10-6006537","http://www.guidestar.org/FinDocuments/2017/106/006/2017-106006537-0fda77c6-F.pdf","$142,119","","$142,119","$142,119","","","","$5,640","$27,608","$7,589","$7,500","","","","","","","","$16,745","","","","$1,918","","","","","","","","","","","","","","",""
"Friends of Westons Council On Aging Inc","11-0016148","2018-07-01","2019-06-30","1990","2018","990EZ","PO Box 672","","Weston","MA","Middlesex",="02493","781-647-0807","N/A","501(c)(3) Public Charity","Senior services","","","P81 (Senior Centers/Services)","624120","8322","","","","INGLE & ASSOCIATES LLC","http://www.guidestar.org/profile/11-0016148","http://www.guidestar.org/FinDocuments/2019/110/016/2019-110016148-1151e8f6-Z.pdf","$156,917","$156,917","","$156,917","","","","$49,225","$49,225","$3,288","$45,622","","","","$315","$0","","","$58,066","","","","","","","","","","","","$5,423","","","","","","",""
"Connection Fund, Inc.","11-0017051","2017-07-01","2018-06-30","1990","2017","990","955 S Main St","","Middletown","CT","Middlesex",="06457","860-343-5500","http://www.theconnectionfundinc.org","501(c)(3) Public Charity","Community and economic development","Shelter and residential care","Community improvement","L99 (Other Housing, Shelter N.E.C.)","624229","8322","","N","","WHITTLESEY PC","http://www.guidestar.org/profile/11-0017051","http://www.guidestar.org/FinDocuments/2018/110/017/2018-110017051-10410631-9.pdf","$11,383,533","$456,046","","$3,604,074","","","$3,604,074","$10,003,333","$10,013,513","$37,420","$84,810","","$44,265","","$9,836,838","$7,779,459","$6,188,420","","$10,154,429","$9,556,615","$587,634","$10,180","$194,542","","$30,416","$94,866","$203,974","","$217,833","","","$10,180","LISA DEMATTEIS-LEPORE","Peter Nucci ","Heide Erb ","Communications Coordinator","herb@theconnectioninc.org","63"
"Jhd Jr All of Our Children Memorial Fund","11-0025081","","","1990","","","771 Broadway","","Paterson","NJ","Passaic",="07514","","","501(c)(3) Public Charity","Youth services","","","P30 (Children's and Youth Services)","624110","8322","","","","","http://www.guidestar.org/profile/11-0025081","http://www.guidestar.org/FinDocuments/2012/110/025/2012-110025081-09d7376a-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mvnhc Inc","11-0026102","","","1990","","","107 W 4th St","","Mount Vernon","NY","Westchester",="10550","","","501(c)(3) Public Charity","Homeless services","","","P85 (Homeless Services/Centers)","624190","8322","","","","","http://www.guidestar.org/profile/11-0026102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Essex County Arc Facilities Inc","11-0036059","2018-01-01","2018-12-31","1990","2018","990","10 St Patrick Pl","","Port Henry","NY","Essex",="12974","518-546-3051","N/A","501(c)(3) Public Charity","Human services","","","P82 (Developmentally Disabled Services/Centers)","624120","8322","","N","N","Martindale Keysor & Co PLLC","http://www.guidestar.org/profile/11-0036059","http://www.guidestar.org/FinDocuments/2018/110/036/2018-110036059-108e6cd7-9.pdf","$4,258,458","$205,272","$0","$948,913","","","$948,913","$706,595","$706,595","$102","$0","","$0","$0","$706,493","$3,309,545","$1,779,530","$73,315","$577,792","$577,792","$0","$0","$0","$0","$0","$0","$84,069","$0","$0","$0","","$0","","","","","","0"
"Yale Whiffenpoof Alumni Inc","11-0039015","2018-01-01","2018-12-31","2002","2018","990EZ","PO Box 201712","","New Haven","CT","New Haven",="06520","203-745-5011","N/A","501(c)(3) Public Charity","Alumni relations","","","B84 (Alumni Associations)","813410","8641","8699","","","HRB TAX GROUP INC","http://www.guidestar.org/profile/11-0039015","http://www.guidestar.org/FinDocuments/2018/110/039/2018-110039015-1084d807-Z.pdf","$426,730","$426,730","","$426,730","","","","$63,481","$63,481","$9,504","$31,756","","","","$21,729","","","","$66,358","","","","","","","","","","","","$1,397","","","","","","",""
"Ocean State Power Uxbridge Comm Foundation Limited","11-0123059","2009-01-01","2009-12-31","1990","2009","990PF","28 Snowling Rd","","Uxbridge","MA","Worcester",="01569","508-278-6250","","501(c)(3) Private Nonoperating Foundation","Education","","","B12 (Fund Raising and/or Fund Distribution)","813219","8399","","","","","http://www.guidestar.org/profile/11-0123059","http://www.guidestar.org/FinDocuments/2010/110/123/2010-110123059-078e6538-F.pdf","$26,222","$26,222","","$26,222","","","","","$30,000","$0","$31,501","","","","","$0","","","$32,528","","","","$950","","","","","","","","","","","","","","",""
"PTA New York Congress","11-0165559","","","1954","","","77 Landau Ave","","Floral Park","NY","Nassau",="11001","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-0165559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"American Legion","11-0194070","2017-01-01","2017-12-31","1946","2017","990EZ","8902 91st St","","Woodhaven","NY","Queens",="11421","718-846-6116","N/A","501(c)(19) (Post or Organizations of War Veterans)","Special population support","","","W30 (Military/Veterans' Organizations)","813410","8641","8699","","","E HARRINGTON CPA","http://www.guidestar.org/profile/11-0194070","http://www.guidestar.org/FinDocuments/2018/110/194/2018-110194070-116114e2-ZO.pdf","$162,821","$111,596","","$162,821","","","","$34,028","$34,028","$46","$2,782","","$0","$0","$0","","","","$25,586","","","","","","","","","","","","$983","","","","","","",""
